attack,attack_any_count,attack_any_rate,attack_backup_count,attack_below_threshold_count,attack_mean_reputation,attack_primary_count,attack_primary_rate,attack_state,mode_count_parallel_fast,mode_count_serial_safe,mode_count_single_safe,mode_rate_parallel_fast,mode_rate_serial_safe,mode_rate_single_safe,period,requests,trusted_any_count,trusted_any_rate,trusted_below_threshold_count,trusted_mean_reputation,trusted_primary_count,trusted_primary_rate
OOA,53,0.8833333333333333,16,1,0.4430796260600062,38,0.6333333333333333,honest,28,32,,0.4666666666666667,0.5333333333333333,,8,60,36,0.6,3,0.41384262716097187,15,0.25
OOA,44,0.7333333333333333,2,3,0.1407703983454882,42,0.7,malicious,34,26,,0.5666666666666667,0.43333333333333335,,9,60,21,0.35,2,0.42902907160973164,0,0.0
OOA,29,0.48333333333333334,0,3,0.22227339709295657,29,0.48333333333333334,honest,26,29,5,0.43333333333333335,0.48333333333333334,0.08333333333333333,10,60,49,0.8166666666666667,2,0.3718484049773076,13,0.21666666666666667
OOA,23,0.38333333333333336,0,3,0.2886973034033875,23,0.38333333333333336,honest,30,30,,0.5,0.5,,11,60,49,0.8166666666666667,3,0.3040637341596248,9,0.15
OOA,60,1.0,0,3,0.294433994641541,60,1.0,honest,23,37,,0.38333333333333336,0.6166666666666667,,12,60,60,1.0,2,0.3072552236081539,0,0.0
OOA,54,0.9,10,3,0.33856586251991283,44,0.7333333333333333,honest,34,26,,0.5666666666666667,0.43333333333333335,,13,60,60,1.0,3,0.20594495874271235,16,0.26666666666666666
OOA,58,0.9666666666666667,0,3,0.40335508795377023,58,0.9666666666666667,honest,26,34,,0.43333333333333335,0.5666666666666667,,14,60,59,0.9833333333333333,3,0.23424493936292579,0,0.0
OOA,49,0.8166666666666667,0,3,0.014385466341804848,49,0.8166666666666667,malicious,26,34,,0.43333333333333335,0.5666666666666667,,15,60,53,0.8833333333333333,3,0.21453407225642732,0,0.0
OOA,53,0.8833333333333333,0,3,0.10404198792272566,53,0.8833333333333333,honest,27,33,,0.45,0.55,,16,60,60,1.0,3,0.2104120043777268,0,0.0
OOA,46,0.7666666666666667,0,3,0.10414715685804117,46,0.7666666666666667,honest,27,33,,0.45,0.55,,17,60,60,1.0,2,0.22788213485556671,14,0.23333333333333334
OOA,11,0.18333333333333332,0,3,0.1182214069351372,11,0.18333333333333332,honest,26,34,,0.43333333333333335,0.5666666666666667,,18,60,60,1.0,2,0.25647259112996296,49,0.8166666666666667
OOA,41,0.6833333333333333,0,3,0.21565255067444924,41,0.6833333333333333,honest,29,31,,0.48333333333333334,0.5166666666666667,,19,60,60,1.0,2,0.2834476050206138,19,0.31666666666666665
OOA,35,0.5833333333333334,0,3,0.2929665985736348,35,0.5833333333333334,honest,32,28,,0.5333333333333333,0.4666666666666667,,20,60,60,1.0,2,0.19532439462819953,25,0.4166666666666667
OOA,55,0.9166666666666666,0,3,0.15967983220423723,55,0.9166666666666666,malicious,22,38,,0.36666666666666664,0.6333333333333333,,21,60,60,1.0,2,0.21563776573033488,5,0.08333333333333333
OOA,43,0.7166666666666667,0,3,0.26830711874637214,43,0.7166666666666667,honest,32,28,,0.5333333333333333,0.4666666666666667,,22,60,60,1.0,2,0.1888873049326872,17,0.2833333333333333
OOA,54,0.9,0,3,0.3003889774469752,54,0.9,honest,24,36,,0.4,0.6,,23,60,60,1.0,2,0.20645598779274063,6,0.1
OOA,28,0.4666666666666667,0,3,0.34808699734753384,28,0.4666666666666667,honest,25,35,,0.4166666666666667,0.5833333333333334,,24,60,60,1.0,2,0.16443159891474082,32,0.5333333333333333
OOA,45,0.75,0,2,0.41819318029910085,45,0.75,honest,25,35,,0.4166666666666667,0.5833333333333334,,25,60,60,1.0,2,0.17228674946193015,15,0.25
OOA,54,0.9,7,2,0.425554281942931,47,0.7833333333333333,honest,23,37,,0.38333333333333336,0.6166666666666667,,26,60,60,1.0,2,0.19429517675294847,13,0.21666666666666667
OOA,31,0.5166666666666667,3,3,0.1766405928558393,28,0.4666666666666667,malicious,31,29,,0.5166666666666667,0.48333333333333334,,27,60,60,1.0,2,0.17268658104066004,32,0.5333333333333333
OOA,37,0.6166666666666667,0,3,0.23434046973028236,37,0.6166666666666667,honest,24,36,,0.4,0.6,,28,60,60,1.0,2,0.17971664942902452,23,0.38333333333333336
OOA,44,0.7333333333333333,0,3,0.26315614747050287,44,0.7333333333333333,honest,25,35,,0.4166666666666667,0.5833333333333334,,29,60,60,1.0,2,0.17125417991602665,16,0.26666666666666666
OOA,47,0.7833333333333333,0,3,0.17157298212258487,47,0.7833333333333333,honest,26,34,,0.43333333333333335,0.5666666666666667,,30,60,60,1.0,3,0.0572538049989019,13,0.21666666666666667
OOA,60,1.0,0,3,0.1576232706442816,60,1.0,honest,23,37,,0.38333333333333336,0.6166666666666667,,31,60,60,1.0,3,0.13775656362114838,0,0.0
OOA,60,1.0,0,3,0.18439610847305196,60,1.0,honest,38,22,,0.6333333333333333,0.36666666666666664,,32,60,60,1.0,3,0.13295910752934528,0,0.0
OOA,60,1.0,0,3,0.0009633333333333299,60,1.0,malicious,31,29,,0.5166666666666667,0.48333333333333334,,33,60,60,1.0,3,0.18908133584789955,0,0.0
OOA,60,1.0,0,3,0.0994584629020067,60,1.0,honest,22,38,,0.36666666666666664,0.6333333333333333,,34,60,60,1.0,3,0.1688548382791073,0,0.0
OOA,60,1.0,0,3,0.1568884496806279,60,1.0,honest,30,30,,0.5,0.5,,35,60,60,1.0,3,0.14536426850212675,0,0.0
OOA,60,1.0,0,3,0.2503149712322363,60,1.0,honest,22,38,,0.36666666666666664,0.6333333333333333,,36,60,60,1.0,3,0.16828354748352134,0,0.0
OOA,60,1.0,0,3,0.3100823458229973,60,1.0,honest,24,36,,0.4,0.6,,37,60,60,1.0,3,0.11420468809988649,0,0.0
OOA,60,1.0,0,3,0.363920202539551,60,1.0,honest,32,28,,0.5333333333333333,0.4666666666666667,,38,60,60,1.0,3,0.08719111979443618,0,0.0
OOA,60,1.0,0,3,0.09828458332815916,60,1.0,malicious,31,29,,0.5166666666666667,0.48333333333333334,,39,60,60,1.0,3,0.08476409028968625,0,0.0
OOA,60,1.0,0,3,0.1742655439688154,60,1.0,honest,28,32,,0.4666666666666667,0.5333333333333333,,40,60,60,1.0,3,0.06935818468349535,0,0.0
OOA,60,1.0,0,3,0.23972575057293902,60,1.0,honest,26,34,,0.43333333333333335,0.5666666666666667,,41,60,60,1.0,3,0.11878033411635773,0,0.0
OOA,60,1.0,0,3,0.2623845485308757,60,1.0,honest,25,35,,0.4166666666666667,0.5833333333333334,,42,60,60,1.0,3,0.16053043677461942,0,0.0
OOA,60,1.0,0,3,0.31026771399541875,60,1.0,honest,31,29,,0.5166666666666667,0.48333333333333334,,43,60,60,1.0,3,0.13262435026076802,0,0.0
OOA,60,1.0,0,2,0.35653808875690013,60,1.0,honest,24,36,,0.4,0.6,,44,60,60,1.0,3,0.16998956562917322,0,0.0
OOA,60,1.0,0,3,0.13411007612718448,60,1.0,malicious,31,29,,0.5166666666666667,0.48333333333333334,,45,60,60,1.0,3,0.08567056805953129,0,0.0
OOA,60,1.0,0,3,0.22694813170571707,60,1.0,honest,28,32,,0.4666666666666667,0.5333333333333333,,46,60,60,1.0,3,0.11598484873630414,0,0.0
OOA,60,1.0,0,2,0.30060888834091176,60,1.0,honest,29,31,,0.48333333333333334,0.5166666666666667,,47,60,60,1.0,3,0.06697173392127886,0,0.0
OOA,60,1.0,0,2,0.3459177284181379,60,1.0,honest,33,27,,0.55,0.45,,48,60,60,1.0,3,0.03226031323810061,0,0.0
OOA,60,1.0,0,2,0.38174973050567057,60,1.0,honest,31,29,,0.5166666666666667,0.48333333333333334,,49,60,60,1.0,3,0.03524272872923525,0,0.0
OOA,60,1.0,0,2,0.41771998365909035,60,1.0,honest,39,21,,0.65,0.35,,50,60,60,1.0,3,0.06024198185025866,0,0.0
OSA,28,0.4666666666666667,0,1,0.4458488389817579,28,0.4666666666666667,base,28,32,,0.4666666666666667,0.5333333333333333,,1,60,30,0.5,2,0.47525964209823307,8,0.13333333333333333
OSA,43,0.7166666666666667,0,2,0.4385632145232901,43,0.7166666666666667,base,16,44,,0.26666666666666666,0.7333333333333333,,2,60,48,0.8,3,0.3660903767047377,10,0.16666666666666666
OSA,8,0.13333333333333333,0,3,0.2974461925254981,8,0.13333333333333333,malicious,30,30,,0.5,0.5,,3,60,0,0.0,3,0.36001361791865477,0,0.0
OSA,0,0.0,0,3,0.33552028699855846,0,0.0,honest,19,41,,0.31666666666666665,0.6833333333333333,,4,60,0,0.0,3,0.36671600611347416,0,0.0
OSA,13,0.21666666666666667,0,2,0.3785216726554374,13,0.21666666666666667,honest,33,27,,0.55,0.45,,5,60,10,0.16666666666666666,3,0.38185115083447724,0,0.0
OSA,28,0.4666666666666667,0,3,0.39602195066972373,28,0.4666666666666667,honest,41,19,,0.6833333333333333,0.31666666666666665,,6,60,2,0.03333333333333333,3,0.40535973057556046,0,0.0
OSA,31,0.5166666666666667,0,2,0.4361114502355381,31,0.5166666666666667,honest,28,32,,0.4666666666666667,0.5333333333333333,,7,60,31,0.5166666666666667,3,0.2883948146103164,0,0.0
OSA,45,0.75,34,2,0.38872832527270035,11,0.18333333333333332,honest,33,25,2,0.55,0.4166666666666667,0.03333333333333333,8,60,43,0.7166666666666667,2,0.32295412582572164,38,0.6333333333333333
OSA,29,0.48333333333333334,7,2,0.39701047511702153,22,0.36666666666666664,honest,26,34,,0.43333333333333335,0.5666666666666667,,9,60,28,0.4666666666666667,2,0.28830743411881504,0,0.0
OSA,59,0.9833333333333333,0,2,0.414128389805729,59,0.9833333333333333,honest,23,37,,0.38333333333333336,0.6166666666666667,,10,60,51,0.85,3,0.22461867771317082,0,0.0
OSA,50,0.8333333333333334,4,2,0.3518281813434004,46,0.7666666666666667,honest,33,27,,0.55,0.45,,11,60,26,0.43333333333333335,3,0.24922284256754298,0,0.0
OSA,30,0.5,30,3,0.276038628283231,0,0.0,honest,30,30,,0.5,0.5,,12,60,5,0.08333333333333333,3,0.2907368633561803,0,0.0
OSA,57,0.95,0,2,0.27059340224299416,57,0.95,honest,27,33,,0.45,0.55,,13,60,59,0.9833333333333333,2,0.2906685160295237,0,0.0
OSA,60,1.0,1,2,0.2996743901992142,59,0.9833333333333333,honest,30,30,,0.5,0.5,,14,60,49,0.8166666666666667,3,0.2274112962012771,1,0.016666666666666666
OSA,38,0.6333333333333333,6,2,0.2627748047329685,32,0.5333333333333333,honest,31,27,2,0.5166666666666667,0.45,0.03333333333333333,15,60,32,0.5333333333333333,3,0.21714467799576861,0,0.0
OSA,60,1.0,0,2,0.2646191604597205,60,1.0,honest,25,35,,0.4166666666666667,0.5833333333333334,,16,60,60,1.0,3,0.2598630852248991,0,0.0
OSA,60,1.0,0,2,0.2794021905486857,60,1.0,honest,23,37,,0.38333333333333336,0.6166666666666667,,17,60,50,0.8333333333333334,3,0.3435345442539222,0,0.0
OSA,60,1.0,0,2,0.30462787017104437,60,1.0,honest,34,26,,0.5666666666666667,0.43333333333333335,,18,60,60,1.0,2,0.37315528023521405,0,0.0
OSA,60,1.0,5,2,0.25509978576376907,55,0.9166666666666666,honest,29,31,,0.48333333333333334,0.5166666666666667,,19,60,52,0.8666666666666667,3,0.3871568763225129,5,0.08333333333333333
OSA,60,1.0,0,2,0.3037181855033627,60,1.0,honest,33,27,,0.55,0.45,,20,60,53,0.8833333333333333,3,0.2714670306987727,0,0.0
OSA,44,0.7333333333333333,0,3,0.15867376373171263,44,0.7333333333333333,malicious,33,27,,0.55,0.45,,21,60,57,0.95,2,0.29426675221852044,0,0.0
OSA,58,0.9666666666666667,0,3,0.19689248132776352,58,0.9666666666666667,honest,23,37,,0.38333333333333336,0.6166666666666667,,22,60,60,1.0,3,0.18677458617555212,2,0.03333333333333333
OSA,38,0.6333333333333333,0,3,0.2709041296130333,38,0.6333333333333333,honest,26,34,,0.43333333333333335,0.5666666666666667,,23,60,60,1.0,3,0.23037899918377,0,0.0
OSA,60,1.0,0,3,0.33552066013036735,60,1.0,honest,26,34,,0.43333333333333335,0.5666666666666667,,24,60,60,1.0,3,0.248849411995102,0,0.0
OSA,60,1.0,0,3,0.4015190769569623,60,1.0,honest,20,40,,0.3333333333333333,0.6666666666666666,,25,60,60,1.0,2,0.24327064329714765,0,0.0
OSA,60,1.0,10,2,0.3516723136280499,50,0.8333333333333334,honest,28,32,,0.4666666666666667,0.5333333333333333,,26,60,60,1.0,2,0.24045034346788566,10,0.16666666666666666
OSA,59,0.9833333333333333,31,2,0.3452730753643937,28,0.4666666666666667,honest,35,25,,0.5833333333333334,0.4166666666666667,,27,60,60,1.0,2,0.26292763296651894,32,0.5333333333333333
OSA,56,0.9333333333333333,32,3,0.25606708293866004,24,0.4,honest,31,29,,0.5166666666666667,0.48333333333333334,,28,60,42,0.7,3,0.23471228414020703,14,0.23333333333333334
OSA,29,0.48333333333333334,0,3,0.33748923927579133,29,0.48333333333333334,honest,31,29,,0.5166666666666667,0.48333333333333334,,29,60,60,1.0,3,0.17699018761065702,0,0.0
OSA,58,0.9666666666666667,0,3,0.35680762542325084,58,0.9666666666666667,honest,33,27,,0.55,0.45,,30,60,60,1.0,3,0.1269561592629135,0,0.0
OSA,60,1.0,0,2,0.3055472552450354,60,1.0,honest,33,27,,0.55,0.45,,31,60,60,1.0,3,0.14017046460418717,0,0.0
OSA,60,1.0,0,1,0.37231934074222167,60,1.0,honest,33,27,,0.55,0.45,,32,60,49,0.8166666666666667,3,0.16606928251902822,0,0.0
